"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-474","changed","10 · WHAT CHANGED","p","DRAFT","Nari brought the parenting expertise, lived experience, teaching, audience, and trusted voice. Access still depended on her presence, post by post and message by message. I translated that value into brand, experience, product, governance, measurement, and operating architecture so it could travel farther.","Nari aportó el conocimiento sobre crianza, la experiencia vivida, la enseñanza, la audiencia y una voz de confianza. El acceso todavía dependía de su presencia, publicación por publicación y mensaje por mensaje. Yo traduje ese valor en arquitectura de marca, experiencia, producto, gobernanza, medición y operación para que pudiera llegar más lejos.",""
"csc-475","changed","10 · WHAT CHANGED","p","DRAFT","The system did not replace her judgment. It changed how far that judgment could reach, how consistently it arrived, and how deliberately the practice could learn from what happened next.","El sistema no reemplazó su criterio. Cambió hasta dónde podía llegar ese criterio, con cuánta consistencia llegaba y con cuánta intención podía la práctica aprender de lo que sucediera después.",""
"csc-476","changed","10 · WHAT CHANGED","h3","DRAFT","WHAT CHANGED","LO QUE CAMBIÓ",""
"csc-477","changed","10 · WHAT CHANGED","p","DRAFT","The practice can publish, learn, and make decisions through a defined system.","La práctica puede publicar, aprender y tomar decisiones a través de un sistema definido.",""
"csc-478","changed","10 · WHAT CHANGED","h3","DRAFT","WHAT BECAME POSSIBLE","LO QUE SE VOLVIÓ POSIBLE",""
"csc-479","changed","10 · WHAT CHANGED","p","DRAFT","Owned bilingual support and an emerging path from immediate relief toward continued care.","Apoyo bilingüe propio y una ruta emergente del alivio inmediato hacia un acompañamiento continuo.",""
"csc-480","changed","10 · WHAT CHANGED","h3","DRAFT","WHAT REMAINS UNPROVEN","LO QUE FALTA PROBAR",""
"csc-481","changed","10 · WHAT CHANGED","p","DRAFT","Distribution, adoption, retention, pricing, and commercial performance.","Distribución, adopción, retención, precios y desempeño comercial.",""
"csc-482","changed","10 · WHAT CHANGED","p","DRAFT","This is the work I do at LG Studio: read a complicated situation, find the system it is missing, and build the thing that makes the expertise usable.","Este es el trabajo que hago en LG Studio: leer una situación compleja, encontrar el sistema que le falta y construir aquello que hace utilizable el conocimiento.",""
"csc-483","changed","10 · WHAT CHANGED","p","DRAFT","Nari’s trust now has infrastructure.","La confianza de Nari ahora tiene infraestructura.",""
"csc-484","changed","10 · WHAT CHANGED","p","DRAFT","Living case study · April 2026 – August 2026 · Linked from Studio","Estudio de caso vivo · Abril 2026 – Agosto 2026 · Enlazado desde Studio",""
