id,type,section,source_en,translation_es,notes
meta.title,SEO,"Meta","Criar Sin Culpas · Case Study V1 · WORKING EDIT | LG Studio","Criar Sin Culpas · Estudio de Caso V1 · EDICIÓN DE TRABAJO | LG Studio","Browser tab. Working-edit label may stay English-only until publish."
meta.description,SEO,"Meta","Private working duplicate of the Criar Sin Culpas living case study for narrative and evidence revision. Not linked from portfolio navigation.","Duplicado de trabajo privado del estudio de caso vivo de Criar Sin Culpas para revisión narrativa y de evidencia. No enlazado desde la navegación del portafolio.","Meta description · page is noindex"
01_the_existing_value_hero_001,label,"01 · THE EXISTING VALUE · HERO","CRIAR SIN CULPAS · LIVING CASE STUDY","CRIAR SIN CULPAS · ESTUDIO DE CASO VIVO",""
01_the_existing_value_hero_002,heading,"01 · THE EXISTING VALUE · HERO","The trust was already there. / The system wasn't","La confianza ya existía. / El sistema, no",""
01_the_existing_value_hero_003,body,"01 · THE EXISTING VALUE · HERO","Criar Sin Culpas already had what many practices spend years trying to earn: trust, expertise, and an audience. But that value lived across disconnected formats and platforms. The engagement became the work of turning it into a support system parents could use and the practice could sustain.","Criar Sin Culpas ya tenía lo que muchas prácticas tardan años en ganar: confianza, experiencia y una audiencia. Pero ese valor vivía disperso entre formatos y plataformas desconectadas. El trabajo se convirtió en transformarlo en un sistema de apoyo que las familias pudieran usar y la práctica pudiera sostener.",""
01_the_existing_value_hero_004,label,"01 · THE EXISTING VALUE · HERO","Formation arc","Arco de formación",""
01_the_existing_value_hero_005,body,"01 · THE EXISTING VALUE · HERO","Voice","Voz",""
01_the_existing_value_hero_006,body,"01 · THE EXISTING VALUE · HERO","Brand","Marca",""
01_the_existing_value_hero_007,body,"01 · THE EXISTING VALUE · HERO","Platform","Plataforma",""
01_the_existing_value_hero_008,body,"01 · THE EXISTING VALUE · HERO","Support","Apoyo",""
01_the_existing_value_hero_009,body,"01 · THE EXISTING VALUE · HERO","Product","Producto",""
01_the_existing_value_hero_010,body,"01 · THE EXISTING VALUE · HERO","Operations","Operación",""
01_the_existing_value_hero_011,caption,"01 · THE EXISTING VALUE · HERO","What began with voice became an owned system for support, learning, product, and operations.","Lo que comenzó como voz se convirtió en un sistema propio de apoyo, aprendizaje, producto y operación.",""
