id,type,section,source_en,translation_es,notes
meta.title,SEO,"Meta","Criar Sin Culpas · Case Study V1 · WORKING EDIT | LG Studio",,"Browser tab. Working-edit label may stay English-only until publish."
meta.description,SEO,"Meta","Private working duplicate of the Criar Sin Culpas living case study for narrative and evidence revision. Not linked from portfolio navigation.",,"Meta description · page is noindex"
01_the_existing_value_hero_001,label,"01 · THE EXISTING VALUE · HERO","CRIAR SIN CULPAS · LIVING CASE STUDY",,""
01_the_existing_value_hero_002,heading,"01 · THE EXISTING VALUE · HERO","The trust was already there. / The system wasn't",,""
01_the_existing_value_hero_003,body,"01 · THE EXISTING VALUE · HERO","Criar Sin Culpas already had what many practices spend years trying to earn: trust, expertise, and an audience. But that value lived across disconnected formats and platforms. The engagement became the work of turning it into a support system parents could use and the practice could sustain.",,""
01_the_existing_value_hero_004,label,"01 · THE EXISTING VALUE · HERO","Formation arc",,""
01_the_existing_value_hero_005,body,"01 · THE EXISTING VALUE · HERO","Voice",,""
01_the_existing_value_hero_006,body,"01 · THE EXISTING VALUE · HERO","Brand",,""
01_the_existing_value_hero_007,body,"01 · THE EXISTING VALUE · HERO","Platform",,""
01_the_existing_value_hero_008,body,"01 · THE EXISTING VALUE · HERO","Support",,""
01_the_existing_value_hero_009,body,"01 · THE EXISTING VALUE · HERO","Product",,""
01_the_existing_value_hero_010,body,"01 · THE EXISTING VALUE · HERO","Operations",,""
01_the_existing_value_hero_011,caption,"01 · THE EXISTING VALUE · HERO","What began with voice became an owned system for support, learning, product, and operations.",,""
01_the_existing_value_hero_alt_012,alt,"01 · THE EXISTING VALUE · HERO","Nari Gilberto and her son sitting together on the floor, smiling and holding hands in warm afternoon light",,"Image alt text · translate for accessibility"
01_the_existing_value_hero_aria_013,aria,"01 · THE EXISTING VALUE · HERO","Formation sequence",,"Screen-reader label"
01_the_existing_value_starti_001,label,"01 · THE EXISTING VALUE · STARTING POINT","The existing value",,""
01_the_existing_value_starti_002,heading,"01 · THE EXISTING VALUE · STARTING POINT","What already existed · and what needed structure",,""
01_the_existing_value_starti_003,heading,"01 · THE EXISTING VALUE · STARTING POINT","What already existed",,""
01_the_existing_value_starti_004,label,"01 · THE EXISTING VALUE · STARTING POINT","Nari",,""
01_the_existing_value_starti_005,body,"01 · THE EXISTING VALUE · STARTING POINT","Trusted voice",,""
01_the_existing_value_starti_006,body,"01 · THE EXISTING VALUE · STARTING POINT","Teaching, public work, and lived experience in one presence.",,""
01_the_existing_value_starti_007,label,"01 · THE EXISTING VALUE · STARTING POINT","Audience",,""
01_the_existing_value_starti_008,body,"01 · THE EXISTING VALUE · STARTING POINT","Existing audience",,""
01_the_existing_value_starti_009,body,"01 · THE EXISTING VALUE · STARTING POINT","A community already gathering around the work.",,""
01_the_existing_value_starti_010,label,"01 · THE EXISTING VALUE · STARTING POINT","Knowledge",,""
01_the_existing_value_starti_011,body,"01 · THE EXISTING VALUE · STARTING POINT","Recurring expertise",,""
01_the_existing_value_starti_012,body,"01 · THE EXISTING VALUE · STARTING POINT","Workshops, materials, and explanations shaped by repetition.",,""
01_the_existing_value_starti_013,label,"01 · THE EXISTING VALUE · STARTING POINT","Identity",,""
01_the_existing_value_starti_014,body,"01 · THE EXISTING VALUE · STARTING POINT","Recognizable early identity",,""
01_the_existing_value_starti_015,body,"01 · THE EXISTING VALUE · STARTING POINT","Logo, templates, and visual references in use.",,""
01_the_existing_value_starti_016,label,"01 · THE EXISTING VALUE · STARTING POINT","What needed to be organized",,""
01_the_existing_value_starti_017,body,"01 · THE EXISTING VALUE · STARTING POINT","Workshops",,""
01_the_existing_value_starti_018,body,"01 · THE EXISTING VALUE · STARTING POINT","Teaching",,""
01_the_existing_value_starti_019,body,"01 · THE EXISTING VALUE · STARTING POINT","Recurring explanations",,""
01_the_existing_value_starti_020,body,"01 · THE EXISTING VALUE · STARTING POINT","Lived experience",,""
01_the_existing_value_starti_021,body,"01 · THE EXISTING VALUE · STARTING POINT","Language",,""
01_the_existing_value_starti_022,body,"01 · THE EXISTING VALUE · STARTING POINT","Audience questions",,""
