"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-088","reader-state","03 · THE MOMENT","img [alt]","DRAFT","Illuminated Meltdowns protocol card with subdued supporting cards on the right, leaving a dark reading field on the left","Tarjeta iluminada del protocolo Desbordes con tarjetas de apoyo más tenues a la derecha, dejando un campo de lectura oscuro a la izquierda",""
"csc-089","reader-state","03 · THE MOMENT","span","DRAFT","Designing for the moment","Diseñando para el momento",""
"csc-090","reader-state","03 · THE MOMENT","h2","DRAFT","Parents were not arriving to browse. [line break] They were arriving in need","Las familias no llegaban a explorar. [line break] Llegaban con una necesidad",""
"csc-091","reader-state","03 · THE MOMENT","p","DRAFT","They were exhausted, emotionally activated, and often using one hand while caring for a child. That changed hierarchy, writing, navigation, protocol length, illustration, and the choices offered next.","Estaban exhaustas, emocionalmente activadas y muchas veces usando una sola mano mientras cuidaban a un hijo. Eso cambió la jerarquía, la redacción, la navegación, la extensión de los protocolos, la ilustración y las opciones que se ofrecían después.",""
"csc-092","reader-state","03 · THE MOMENT","p","DRAFT","What the moment demanded","Lo que el momento exigía",""
"csc-093","reader-state","03 · THE MOMENT","div [aria-label]","DRAFT","Parent conditions","Condiciones de las familias",""
"csc-094","reader-state","03 · THE MOMENT","span","DRAFT","Exhausted","Exhaustas",""
"csc-095","reader-state","03 · THE MOMENT","span","DRAFT","Scanning","Escaneando",""
"csc-096","reader-state","03 · THE MOMENT","span","DRAFT","Holding a child","Cargando a un hijo",""
"csc-097","reader-state","03 · THE MOMENT","span","DRAFT","Emotionally activated","Emocionalmente activadas",""
"csc-098","reader-state","03 · THE MOMENT","span","DRAFT","Looking for one useful sentence","Buscando una sola frase útil",""
"csc-099","reader-state","03 · THE MOMENT","p","DRAFT","What I changed because of it","Lo que cambié a partir de eso",""
"csc-100","reader-state","03 · THE MOMENT","ul [aria-label]","DRAFT","Design implications","Implicaciones de diseño",""
"csc-101","reader-state","03 · THE MOMENT","li","DRAFT","Stronger hierarchy","Jerarquía más fuerte",""
"csc-102","reader-state","03 · THE MOMENT","li","DRAFT","Shorter intervention paths","Rutas de intervención más cortas",""
"csc-103","reader-state","03 · THE MOMENT","li","DRAFT","Scannability","Facilidad de escaneo",""
"csc-104","reader-state","03 · THE MOMENT","li","DRAFT","Protocols","Protocolos",""
"csc-105","reader-state","03 · THE MOMENT","li","DRAFT","Navigation","Navegación",""
"csc-106","reader-state","03 · THE MOMENT","li","DRAFT","Writing","Redacción",""
"csc-107","reader-state","03 · THE MOMENT","li","DRAFT","Illustration","Ilustración",""
"csc-108","reader-state","03 · THE MOMENT","li","DRAFT","Support-choice architecture","Arquitectura de elección de apoyo",""
"csc-109","reader-state","03 · THE MOMENT","h3","DRAFT","Scannability is a form of care","La facilidad de escaneo es una forma de cuidado",""
"csc-110","reader-state","03 · THE MOMENT","img [alt]","DRAFT","Parent using the Criar Sin Culpas Desbordes protocol on a phone while holding a child's toy, with annotations showing why the experience works under pressure","Madre o padre usando el protocolo Desbordes de Criar Sin Culpas en el teléfono mientras sostiene el juguete de un hijo, con anotaciones que muestran por qué la experiencia funciona bajo presión",""
"csc-111","reader-state","03 · THE MOMENT","span","DRAFT","LIVED USE","USO VIVIDO",""
"csc-112","reader-state","03 · THE MOMENT","p","DRAFT","Short sections, strong visual anchors, and immediate next steps reduced the amount a parent had to interpret while already overwhelmed.","Secciones cortas, anclas visuales fuertes y próximos pasos inmediatos redujeron lo que una madre o un padre tenía que interpretar mientras ya estaba desbordado.",""
"csc-113","reader-state","03 · THE MOMENT","p","DRAFT","The competing priority was editorial completeness inside each protocol. Evidence about the parent's state favored shorter paths and stronger hierarchy, so I accepted the tradeoff: depth moved into Aprende and later layers to keep the first screen usable under pressure.","La prioridad rival era la completitud editorial dentro de cada protocolo. La evidencia sobre el estado de las familias favorecía rutas más cortas y una jerarquía más fuerte, así que acepté el intercambio: la profundidad se movió a Aprende y a capas posteriores para que la primera pantalla siguiera siendo usable bajo presión.",""
