"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-114","brand-lineage","04 · THE LEARNED IDENTITY","span","DRAFT","The learned identity","La identidad aprendida",""
"csc-115","brand-lineage","04 · THE LEARNED IDENTITY","h2","DRAFT","The identity had to learn before it could be governed","La identidad tuvo que aprender antes de poder gobernarse",""
"csc-116","brand-lineage","04 · THE LEARNED IDENTITY","p","DRAFT","I designed five generations and kept every one of them. Each solved a problem the work had just revealed: recognition became urgency, urgency gained editorial structure, and structure eventually demanded rules for its own evolution.","Diseñé cinco generaciones y conservé todas. Cada una resolvió un problema que el trabajo acababa de revelar: el reconocimiento se volvió urgencia, la urgencia ganó estructura editorial y la estructura acabó exigiendo reglas para su propia evolución.",""
"csc-117","brand-lineage","04 · THE LEARNED IDENTITY","span","DRAFT","Voice","Voz",""
"csc-118","brand-lineage","04 · THE LEARNED IDENTITY","span","DRAFT","Urgency","Urgencia",""
"csc-119","brand-lineage","04 · THE LEARNED IDENTITY","span","DRAFT","Structure","Estructura",""
"csc-120","brand-lineage","04 · THE LEARNED IDENTITY","span","DRAFT","Formalization","Formalización",""
"csc-121","brand-lineage","04 · THE LEARNED IDENTITY","span","DRAFT","Governance","Gobernanza",""
"csc-122","brand-lineage","04 · THE LEARNED IDENTITY","div [aria-label]","DRAFT","Historical brand generations","Generaciones históricas de marca",""
"csc-123","brand-lineage","04 · THE LEARNED IDENTITY","img [alt]","DRAFT","Generation A specimen · Recognition and voice","Espécimen de la Generación A · Reconocimiento y voz",""
"csc-124","brand-lineage","04 · THE LEARNED IDENTITY","div [aria-label]","DRAFT","Generation A palette","Paleta de la Generación A",""
"csc-125","brand-lineage","04 · THE LEARNED IDENTITY","p","DRAFT","A · Superseded","A · Reemplazada",""
"csc-126","brand-lineage","04 · THE LEARNED IDENTITY","h3","DRAFT","Recognition and voice","Reconocimiento y voz",""
"csc-127","brand-lineage","04 · THE LEARNED IDENTITY","p","DRAFT","Earliest visual home for the voice · warmer than a finished practice.","Primer hogar visual de la voz · más cálido que una práctica terminada.",""
"csc-128","brand-lineage","04 · THE LEARNED IDENTITY","img [alt]","DRAFT","Generation B specimen · Urgency and intervention","Espécimen de la Generación B · Urgencia e intervención",""
"csc-129","brand-lineage","04 · THE LEARNED IDENTITY","div [aria-label]","DRAFT","Generation B palette","Paleta de la Generación B",""
"csc-130","brand-lineage","04 · THE LEARNED IDENTITY","p","DRAFT","B · Superseded","B · Reemplazada",""
"csc-131","brand-lineage","04 · THE LEARNED IDENTITY","h3","DRAFT","Urgency and intervention","Urgencia e intervención",""
"csc-132","brand-lineage","04 · THE LEARNED IDENTITY","p","DRAFT","Harder moments pulled the tone toward concentration and intervention.","Los momentos más difíciles llevaron el tono hacia la concentración y la intervención.",""
"csc-133","brand-lineage","04 · THE LEARNED IDENTITY","img [alt]","DRAFT","Generation C specimen · Editorial structure","Espécimen de la Generación C · Estructura editorial",""
"csc-134","brand-lineage","04 · THE LEARNED IDENTITY","div [aria-label]","DRAFT","Generation C palette","Paleta de la Generación C",""
"csc-135","brand-lineage","04 · THE LEARNED IDENTITY","p","DRAFT","C · Superseded","C · Reemplazada",""
"csc-136","brand-lineage","04 · THE LEARNED IDENTITY","h3","DRAFT","Editorial structure","Estructura editorial",""
"csc-137","brand-lineage","04 · THE LEARNED IDENTITY","p","DRAFT","Hierarchy and repeatable editorial patterns began to carry the work.","La jerarquía y los patrones editoriales repetibles empezaron a sostener el trabajo.",""
"csc-138","brand-lineage","04 · THE LEARNED IDENTITY","img [alt]","DRAFT","Generation D specimen · Formalization and governance","Espécimen de la Generación D · Formalización y gobernanza",""
"csc-139","brand-lineage","04 · THE LEARNED IDENTITY","div [aria-label]","DRAFT","Generation D palette","Paleta de la Generación D",""
"csc-140","brand-lineage","04 · THE LEARNED IDENTITY","p","DRAFT","D · Superseded","D · Reemplazada",""
"csc-141","brand-lineage","04 · THE LEARNED IDENTITY","h3","DRAFT","Formalization and governance","Formalización y gobernanza",""
"csc-142","brand-lineage","04 · THE LEARNED IDENTITY","p","DRAFT","Coherent enough to document publicly · still evolving underneath.","Suficientemente coherente para documentarse públicamente · aún en evolución por dentro.",""
"csc-143","brand-lineage","04 · THE LEARNED IDENTITY","img [alt]","DRAFT","Current canonical specimen · Governed System","Espécimen canónico actual · Sistema Gobernado",""
"csc-144","brand-lineage","04 · THE LEARNED IDENTITY","p","DRAFT","Current · Governed","Actual · Gobernado",""
"csc-145","brand-lineage","04 · THE LEARNED IDENTITY","h3","DRAFT","Governed System","Sistema Gobernado",""
"csc-146","brand-lineage","04 · THE LEARNED IDENTITY","p","DRAFT","Lessons held together · a warmer system across editorial, product, and practice.","Las lecciones se mantienen unidas · un sistema más cálido a través de lo editorial, el producto y la práctica.",""
"csc-147","brand-lineage","04 · THE LEARNED IDENTITY","p","DRAFT","The iterations were not detours. Each one encoded something the work had taught us.","Las iteraciones no fueron desvíos. Cada una codificó algo que el trabajo nos había enseñado.",""
"csc-148","brand-lineage","04 · THE LEARNED IDENTITY","h3","DRAFT","Once the practice began evolving through use, evolution itself needed rules","Una vez que la práctica comenzó a evolucionar con el uso, la evolución misma necesitó reglas",""
"csc-149","brand-lineage","04 · THE LEARNED IDENTITY","span","DRAFT","Internal","Interno",""
"csc-150","brand-lineage","04 · THE LEARNED IDENTITY","h3","DRAFT","System of Record","Sistema de Registro",""
"csc-151","brand-lineage","04 · THE LEARNED IDENTITY","p","DRAFT","The internal source of truth preserves decisions, lineage, migrations, and unresolved boundaries.","La fuente interna de verdad preserva decisiones, linaje, migraciones y límites sin resolver.",""
"csc-152","brand-lineage","04 · THE LEARNED IDENTITY","img [alt]","DRAFT","Internal System of Record workspace for Criar Sin Culpas","Espacio de trabajo interno del Sistema de Registro de Criar Sin Culpas",""
"csc-153","brand-lineage","04 · THE LEARNED IDENTITY","li","DRAFT","One source of truth","Una sola fuente de verdad",""
