"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-031","starting-point","01 · La situación","span","REVISED","The situation","01 · LA SITUACIÓN",""
"csc-032","starting-point","01 · La situación","h2","REVISED","The value was real. It had nowhere to live","El valor ya estaba ahí. Faltaba estructura.",""
"csc-033","starting-point","01 · La situación","h3","REVISED","What already existed","LO QUE YA EXISTÍA",""
"csc-034","starting-point","01 · La situación","p","REVISED","Nari","NARI",""
"csc-035","starting-point","01 · La situación","p","REVISED","Trusted voice","Una voz que ya generaba confianza",""
"csc-036","starting-point","01 · La situación","p","REVISED","Teaching, public work, and lived experience in one presence.","Años de enseñanza, trabajo público y experiencia vivida sostenidos por la presencia directa de Nari.",""
"csc-037","starting-point","01 · La situación","p","REVISED","Audience","AUDIENCIA",""
"csc-038","starting-point","01 · La situación","p","REVISED","Existing audience","Una audiencia que ya estaba ahí",""
"csc-039","starting-point","01 · La situación","p","REVISED","A community already gathering around the work.","Personas y familias que ya seguían, compartían y acudían a su trabajo.",""
"csc-040","starting-point","01 · La situación","p","REVISED","Knowledge","CONOCIMIENTO",""
"csc-041","starting-point","01 · La situación","p","REVISED","Recurring expertise","Una práctica afinada por la experiencia",""
"csc-042","starting-point","01 · La situación","p","REVISED","Workshops, materials, and explanations shaped by repetition.","Talleres, materiales y explicaciones refinados con el tiempo a través de la práctica y el aprendizaje continuo.",""
"csc-043","starting-point","01 · La situación","p","REVISED","Identity","IDENTIDAD",""
"csc-044","starting-point","01 · La situación","p","REVISED","Recognizable early identity","Una identidad visual ya reconocible",""
"csc-045","starting-point","01 · La situación","p","REVISED","Logo, templates, and visual references in use.","Un logo, plantillas y referencias visuales que ya daban forma a una expresión propia.",""
"csc-046","starting-point","01 · La situación","span","DRAFT","What needed to be organized","Lo que necesitaba organizarse",""
"csc-047","starting-point","01 · La situación","div [aria-label]","DRAFT","Source material","Material fuente",""
"csc-048","starting-point","01 · La situación","span","REVISED","Workshops","Talleres",""
"csc-049","starting-point","01 · La situación","span","REVISED","Teaching","Enseñanza",""
"csc-050","starting-point","01 · La situación","span","REVISED","Recurring explanations","Explicaciones recurrentes",""
"csc-051","starting-point","01 · La situación","span","REVISED","Lived experience","Experiencia vivida",""
"csc-052","starting-point","01 · La situación","span","REVISED","Language","Lenguaje",""
"csc-053","starting-point","01 · La situación","span","REVISED","Audience questions","Preguntas de la audiencia",""
"csc-054","starting-point","01 · La situación","span","REVISED","Recurring situations","Situaciones recurrentes",""
"csc-055","starting-point","01 · La situación","div [aria-label]","DRAFT","Discovery material from the April 8, 2026 initial intake showing common questions and recurring themes","Material de descubrimiento del levantamiento inicial del 8 de abril de 2026, mostrando preguntas comunes y temas recurrentes",""
"csc-056","starting-point","01 · La situación","span","DRAFT","Discovery material","Material de descubrimiento",""
"csc-057","starting-point","01 · La situación","span","DRAFT","Initial intake · April 8, 2026","Levantamiento inicial · 8 de abril, 2026",""
"csc-058","starting-point","01 · La situación","li","REVISED","“My child is hitting/screaming. What do I do right now?”","“Mi hijo está golpeando/gritando. ¿Qué hago ahora mismo?”",""
"csc-059","starting-point","01 · La situación","li","REVISED","“I’m losing control. How do I not react?”","“Estoy perdiendo el control. ¿Cómo no reacciono?”",""
"csc-060","starting-point","01 · La situación","li","REVISED","“This is getting worse. How do I de-escalate it?”","“Esto está empeorando. ¿Cómo lo bajo?”",""
"csc-061","starting-point","01 · La situación","span","REVISED","Escalation","Escalada",""
"csc-062","starting-point","01 · La situación","span","REVISED","Regulation","Regulación",""
"csc-063","starting-point","01 · La situación","span","REVISED","Structure","Estructura",""
"csc-064","starting-point","01 · La situación","span","REVISED","Communication","Comunicación",""
"csc-065","starting-point","01 · La situación","span","REVISED","Guidance","Orientación",""
"csc-066","starting-point","01 · La situación","span","REVISED","Real-time intervention","Intervención en tiempo real",""
"csc-067","starting-point","01 · La situación","ul [aria-label]","REVISED","Analysis process from source material to emerging structure","Proceso de análisis desde el material fuente hasta la estructura emergente",""
"csc-068","starting-point","01 · La situación","span","DRAFT","Collect","Recolectar",""
"csc-069","starting-point","01 · La situación","span","REVISED","Compare","Comparar",""
"csc-070","starting-point","01 · La situación","span","REVISED","Cluster","Agrupar",""
