"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-323","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","Protocol pages were structured for rapid orientation under pressure, with denser explanation moved into Aprende and later layers rather than into the first screen.","Las páginas de protocolo se estructuraron para orientación rápida bajo presión, y la explicación más densa se movió a Aprende y a capas posteriores, no a la primera pantalla.",""
"csc-324","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Pathway signal","Señal de ruta",""
"csc-325","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","~30%","~30%",""
"csc-326","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Portal entries","Entradas al portal",""
"csc-327","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Evidence","Evidencia",""
"csc-328","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","<strong>67 unique visitors</strong> triggered portal_entered, approximately 30% of the 223 visitors in the reporting window.","67 visitantes únicos activaron portal_entered, aproximadamente el 30% de los 223 visitantes en la ventana de reporte.",""
"csc-329","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Interpretation","Interpretación",""
"csc-330","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","A meaningful share moved beyond an individual page into the broader support environment.","Una porción significativa avanzó más allá de una página individual hacia el entorno de apoyo más amplio.",""
"csc-331","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Decision","Decisión",""
"csc-332","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Continue developing an owned pathway rather than treating protocols as isolated content.","Continuar desarrollando una ruta propia en lugar de tratar los protocolos como contenido aislado.",""
"csc-333","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","Established","Establecido",""
"csc-334","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","The information architecture connected protocols to portal entry, learning surfaces, and an emerging path toward continued support, without claiming that progression is commercially validated.","La arquitectura de información conectó protocolos con la entrada al portal, superficies de aprendizaje y una ruta emergente hacia apoyo continuo, sin afirmar que esa progresión ya esté validada comercialmente.",""
"csc-335","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Language signal","Señal de idioma",""
"csc-336","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Language changes","Cambios de idioma",""
"csc-337","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Evidence","Evidencia",""
"csc-338","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","<strong>45 unique visitors</strong> triggered language_changed.","45 visitantes únicos activaron language_changed.",""
"csc-339","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Interpretation","Interpretación",""
"csc-340","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Visitors actively used the bilingual capability.","Los visitantes usaron activamente la capacidad bilingüe.",""
"csc-341","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Decision","Decisión",""
"csc-342","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Treat bilingual delivery as experience infrastructure, not a translation layer.","Tratar la entrega bilingüe como infraestructura de experiencia, no como una capa de traducción.",""
"csc-343","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","Established","Establecido",""
"csc-344","product-signal","07 · WHAT BEHAVIOR TAUGHT","span","DRAFT","Language became a first-class part of the experience. It shipped and is actively used, while broader distribution of that bilingual reach remains unproven.","El idioma pasó a ser parte central de la experiencia. Está publicado y se usa de forma activa, mientras la distribución más amplia de ese alcance bilingüe sigue sin probarse.",""
"csc-345","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Plausible Analytics · 91-day window · May 22–August 20, 2026","Plausible Analytics · ventana de 91 días · 22 de mayo–20 de agosto, 2026",""
"csc-346","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","I initially treated the protocols as educational content. Behavior showed that families reached for them as intervention tools, so I changed how I structured, measured, and maintained the experience.","Al principio traté los protocolos como contenido educativo. El comportamiento mostró que las familias los buscaban como herramientas de intervención, así que cambié la forma de estructurar, medir y mantener la experiencia.",""
"csc-347","product-signal","07 · WHAT BEHAVIOR TAUGHT","aside [aria-label]","DRAFT","Decision","Decisión",""
"csc-348","product-signal","07 · WHAT BEHAVIOR TAUGHT","p","DRAFT","Decision","Decisión",""
