"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-072","the-read","02 · El diagnóstico","span","DRAFT","The diagnosis","El diagnóstico",""
"csc-073","the-read","02 · El diagnóstico","h2","DRAFT","Behavior changed the read. [line break] The read changed what we built","El comportamiento cambió la lectura. [line break] La lectura cambió lo que construimos",""
"csc-074","the-read","02 · El diagnóstico","p","DRAFT","Parents arrived activated, scanning, and short on capacity. That behavior pointed to urgency rather than browsing. I ran the material through StrategyIQ, my method for pressure-testing a strategic read against evidence, and it changed the assignment: this was not an information problem to be tidied. It was a support problem, and support had to be designed for the moment it was needed.","Las familias llegaban activadas, escaneando, con poca capacidad disponible: un comportamiento que apuntaba a urgencia, no a exploración. Pasé el material por StrategyIQ, mi método para poner a prueba una lectura estratégica contra la evidencia, y eso cambió el encargo: no era un problema de información que ordenar. Era un problema de apoyo, y el apoyo debía diseñarse para el momento en que se necesita.",""
"csc-075","the-read","02 · El diagnóstico","div [aria-label]","DRAFT","Signal to decision","De la señal a la decisión",""
"csc-076","the-read","02 · El diagnóstico","span","DRAFT","SIGNAL","SEÑAL",""
"csc-077","the-read","02 · El diagnóstico","h3","DRAFT","What we observed","Lo que observamos",""
"csc-078","the-read","02 · El diagnóstico","p","DRAFT","Activated arrival, scanning behavior, and short capacity.","Llegada activada, comportamiento de escaneo y poca capacidad disponible.",""
"csc-079","the-read","02 · El diagnóstico","span","DRAFT","READ","LECTURA",""
"csc-080","the-read","02 · El diagnóstico","h3","DRAFT","What it suggested","Lo que sugería",""
"csc-081","the-read","02 · El diagnóstico","p","DRAFT","Design for the moment of need, not leisurely content consumption.","Diseñar para el momento de necesidad, no para un consumo relajado de contenido.",""
"csc-082","the-read","02 · El diagnóstico","span","DRAFT","DECISION","DECISIÓN",""
"csc-083","the-read","02 · El diagnóstico","h3","DRAFT","What changed","Lo que cambió",""
"csc-084","the-read","02 · El diagnóstico","p","DRAFT","I shifted the work from organizing information to designing support under pressure: short hierarchy, protocol paths, and measurement shaped around urgent arrival rather than unhurried reading.","Cambié el trabajo: de organizar información a diseñar apoyo bajo presión. Jerarquía breve, rutas de protocolo y medición pensadas para una llegada urgente, no para una lectura pausada.",""
"csc-085","the-read","02 · El diagnóstico","img [alt]","DRAFT","StrategyIQ first and second reads showing the shift from emotional urgency to a support ecosystem","Primera y segunda lectura de StrategyIQ, mostrando el paso de urgencia emocional a un entramado de apoyo",""
"csc-086","the-read","02 · El diagnóstico","span","DRAFT","READ → DECISION","LECTURA → DECISIÓN",""
"csc-087","the-read","02 · El diagnóstico","p","DRAFT","The first read identified emotional urgency. The closer read exposed a larger requirement: the experience had to respond as a connected system.","La primera lectura identificó urgencia emocional. La lectura más cercana reveló un requerimiento mayor: la experiencia tenía que responder como un sistema conectado.",""
