id,type,section,source_en,translation_es,notes
"04_visual_support_infrastruc_036","caption","04 · VISUAL SUPPORT INFRASTRUCTURE","Sleep doodle","Boceto de sueño","RETIRE — EN no longer on live page"
"04_visual_support_infrastruc_037","caption","04 · VISUAL SUPPORT INFRASTRUCTURE","Emociones","Emociones","RETIRE — EN no longer on live page"
"04_visual_support_infrastruc_038","caption","04 · VISUAL SUPPORT INFRASTRUCTURE","Desbordes","Desbordes","RETIRE — EN no longer on live page"
"04_visual_support_infrastruc_039","caption","04 · VISUAL SUPPORT INFRASTRUCTURE","Pantallas","Pantallas","RETIRE — EN no longer on live page"
"04_visual_support_infrastruc_alt_052","alt","04 · VISUAL SUPPORT INFRASTRUCTURE","Sleep doodle crop","Recorte del boceto de sueño","RETIRE — EN no longer on live page"
"04_visual_support_infrastruc_alt_053","alt","04 · VISUAL SUPPORT INFRASTRUCTURE","Emotions doodle crop","Recorte del boceto de emociones","RETIRE — EN no longer on live page"
"04_visual_support_infrastruc_alt_054","alt","04 · VISUAL SUPPORT INFRASTRUCTURE","Meltdowns doodle crop","Recorte del boceto de desbordes","RETIRE — EN no longer on live page"
"04_visual_support_infrastruc_alt_055","alt","04 · VISUAL SUPPORT INFRASTRUCTURE","Screens doodle crop","Recorte del boceto de pantallas","RETIRE — EN no longer on live page"
"10_what_actually_changed_005","label","10 · WHAT ACTUALLY CHANGED","Existing condition","Condición existente","RETIRE — EN no longer on live page"
"10_what_actually_changed_006","body","10 · WHAT ACTUALLY CHANGED","~30K","~30K","RETIRE — EN no longer on live page"
"10_what_actually_changed_007","body","10 · WHAT ACTUALLY CHANGED","Instagram followers already existed before the owned system.","Seguidores en Instagram que ya existían antes del sistema propio.","RETIRE — EN no longer on live page"
"10_what_actually_changed_008","body","10 · WHAT ACTUALLY CHANGED","Approximate starting audience documented in engagement materials.","Audiencia inicial aproximada, documentada en los materiales de levantamiento.","RETIRE — EN no longer on live page"
"10_what_actually_changed_009","label","10 · WHAT ACTUALLY CHANGED","Shipped support","Apoyo publicado","RETIRE — EN no longer on live page"
"10_what_actually_changed_010","body","10 · WHAT ACTUALLY CHANGED","Bilingual protocols launched on the owned platform.","Protocolos bilingües lanzados en la plataforma propia.","RETIRE — EN no longer on live page"
"10_what_actually_changed_011","body","10 · WHAT ACTUALLY CHANGED","Pantallas · Desbordes · Sueño · Hermanos","Pantallas · Desbordes · Sueño · Hermanos","RETIRE — EN no longer on live page"
"10_what_actually_changed_012","label","10 · WHAT ACTUALLY CHANGED","Owned experience","Experiencia propia","RETIRE — EN no longer on live page"
"10_what_actually_changed_013","body","10 · WHAT ACTUALLY CHANGED","Public + bilingual","Pública + bilingüe","RETIRE — EN no longer on live page"
"10_what_actually_changed_014","body","10 · WHAT ACTUALLY CHANGED","Support moved beyond social publishing into owned protocols, editorial guidance, and reusable pathways.","El apoyo pasó de la publicación en redes sociales a protocolos propios, guía editorial y rutas reutilizables.","RETIRE — EN no longer on live page"
"10_what_actually_changed_015","label","10 · WHAT ACTUALLY CHANGED","Operating practice","Práctica operativa","RETIRE — EN no longer on live page"
"10_what_actually_changed_016","body","10 · WHAT ACTUALLY CHANGED","Defined system","Sistema definido","RETIRE — EN no longer on live page"
"10_what_actually_changed_017","body","10 · WHAT ACTUALLY CHANGED","Rhythm, governance, measurement, and production now connect signals to shipped support.","Ritmo, gobernanza, medición y producción ahora conectan las señales con el apoyo publicado.","RETIRE — EN no longer on live page"
"10_what_actually_changed_019","body","10 · WHAT ACTUALLY CHANGED","Individual expression","Expresión individual","RETIRE — EN no longer on live page"
"10_what_actually_changed_020","body","10 · WHAT ACTUALLY CHANGED","Structured, governed brand voice","Voz de marca estructurada y gobernada","RETIRE — EN no longer on live page"
"10_what_actually_changed_022","body","10 · WHAT ACTUALLY CHANGED","Dispersed expertise","Experiencia dispersa","RETIRE — EN no longer on live page"
"10_what_actually_changed_023","body","10 · WHAT ACTUALLY CHANGED","Navigable support and editorial architecture","Arquitectura de apoyo y contenido editorial navegable","RETIRE — EN no longer on live page"
"10_what_actually_changed_025","body","10 · WHAT ACTUALLY CHANGED","Instagram-dependent presence","Presencia dependiente de Instagram","RETIRE — EN no longer on live page"
"10_what_actually_changed_026","body","10 · WHAT ACTUALLY CHANGED","Owned bilingual support experience","Experiencia de apoyo bilingüe propia","RETIRE — EN no longer on live page"
"10_what_actually_changed_028","body","10 · WHAT ACTUALLY CHANGED","Individual publishing","Publicación individual","RETIRE — EN no longer on live page"
"10_what_actually_changed_029","body","10 · WHAT ACTUALLY CHANGED","Recurring operating and measurement rhythm","Ritmo recurrente de operación y medición","RETIRE — EN no longer on live page"
"10_what_actually_changed_030","body","10 · WHAT ACTUALLY CHANGED","BUSINESS","NEGOCIO","RETIRE — EN no longer on live page"
"10_what_actually_changed_031","body","10 · WHAT ACTUALLY CHANGED","Audience without a product pathway","Audiencia sin una ruta de producto","RETIRE — EN no longer on live page"
"10_what_actually_changed_032","body","10 · WHAT ACTUALLY CHANGED","Defined support and membership architecture","Arquitectura definida de apoyo y membresía","RETIRE — EN no longer on live page"
