"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-349","operations","10 · Operate","span","DRAFT","Behind the screen","Detrás de la pantalla",""
"csc-350","operations","10 · Operate","h2","DRAFT","The public experience was only one layer","La experiencia pública era solo una capa",""
"csc-351","operations","10 · Operate","p","DRAFT","Behind it, the practice gained the rhythms, responsibilities, production paths, workspaces, access systems, and measurement needed to keep the work moving.","Detrás de ella, la práctica ganó los ritmos, responsabilidades, rutas de producción, espacios de trabajo, sistemas de acceso y medición necesarios para mantener el trabajo en movimiento.",""
"csc-352","operations","10 · Operate","h3","DRAFT","Operating system","Sistema operativo",""
"csc-353","operations","10 · Operate","p","DRAFT","How the practice stays coherent over time.","Cómo la práctica se mantiene coherente en el tiempo.",""
"csc-354","operations","10 · Operate","img [alt]","DRAFT","Operating rhythm and publishing cadence behind the public surface","Ritmo operativo y cadencia de publicación detrás de la superficie pública",""
"csc-355","operations","10 · Operate","span","DRAFT","OPERATING","OPERACIÓN",""
"csc-356","operations","10 · Operate","h3","DRAFT","Rhythm","Ritmo",""
"csc-357","operations","10 · Operate","p","DRAFT","I set a recurring rhythm that connects planning, publishing, review, and the next editorial decision.","Establecí un ritmo recurrente que conecta planeación, publicación, revisión y la siguiente decisión editorial.",""
"csc-358","operations","10 · Operate","img [alt]","DRAFT","Ownership and governance · inputs, shared governance, and ownership across Nari and LG Studio","Propiedad y gobernanza · insumos, gobernanza compartida y propiedad entre Nari y LG Studio",""
"csc-359","operations","10 · Operate","span","DRAFT","SYSTEM","SISTEMA",""
"csc-360","operations","10 · Operate","h3","DRAFT","Governance","Gobernanza",""
"csc-361","operations","10 · Operate","p","DRAFT","I wrote the rules: who decides what, what is allowed to change, and what has to stay stable.","Escribí las reglas: quién decide qué, qué puede cambiar y qué debe permanecer estable.",""
"csc-362","operations","10 · Operate","img [alt]","DRAFT","Measurement model · signal capture, pattern reporting, interpretation, and the next editorial move","Modelo de medición · captura de señal, reporte de patrones, interpretación y el siguiente movimiento editorial",""
"csc-363","operations","10 · Operate","span","DRAFT","SYSTEM","SISTEMA",""
"csc-364","operations","10 · Operate","h3","DRAFT","Measurement","Medición",""
"csc-365","operations","10 · Operate","p","DRAFT","Protocols were structured to capture use signals such as views, time on page, and share actions, allowing future product decisions to follow behavior rather than assumptions.","Los protocolos se estructuraron para capturar señales de uso como vistas, tiempo en página y acciones de compartir, permitiendo que las futuras decisiones de producto siguieran el comportamiento y no las suposiciones.",""
"csc-366","operations","10 · Operate","h3","DRAFT","Enabling infrastructure","Infraestructura habilitante",""
"csc-367","operations","10 · Operate","p","DRAFT","The surfaces that make that practice runnable.","Las superficies que hacen esa práctica operable.",""
"csc-368","operations","10 · Operate","img [alt]","DRAFT","Production · three-phase journey from diagnóstico to arquitectura to activación","Producción · recorrido de tres fases, de diagnóstico a arquitectura a activación",""
"csc-369","operations","10 · Operate","span","DRAFT","OPERATING","OPERACIÓN",""
"csc-370","operations","10 · Operate","h3","DRAFT","Production","Producción",""
"csc-371","operations","10 · Operate","p","DRAFT","I defined the path from signal to shipped support, so publishing no longer depended on improvisation.","Definí la ruta de la señal al apoyo publicado, para que publicar dejara de depender de la improvisación.",""
"csc-372","operations","10 · Operate","img [alt]","DRAFT","Client workspace · context, decisions, priorities, history, and active work in one operating surface","Espacio de trabajo del cliente · contexto, decisiones, prioridades, historial y trabajo activo en una sola superficie operativa",""
"csc-373","operations","10 · Operate","span","DRAFT","OPERATING","OPERACIÓN",""
"csc-374","operations","10 · Operate","h3","DRAFT","Client workspace","Espacio de trabajo del cliente",""
"csc-375","operations","10 · Operate","p","DRAFT","Context, priorities, and active decisions moved into one continuous environment.","El contexto, las prioridades y las decisiones activas se trasladaron a un solo entorno continuo.",""
"csc-376","operations","10 · Operate","img [alt]","DRAFT","Protected access · StrategyIQ secure portal into client workspaces and operating infrastructure","Acceso protegido · portal seguro de StrategyIQ hacia los espacios de trabajo del cliente y la infraestructura operativa",""
"csc-377","operations","10 · Operate","span","DRAFT","OPERATING","OPERACIÓN",""
"csc-378","operations","10 · Operate","h3","DRAFT","Protected access","Acceso protegido",""
"csc-379","operations","10 · Operate","p","DRAFT","The architecture could support continuity beyond public content.","La arquitectura podía sostener continuidad más allá del contenido público.",""
