"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-420","product","10 · From support to product","span","DRAFT","IMPLEMENTING","EN IMPLEMENTACIÓN",""
"csc-421","product","10 · From support to product","h3","DRAFT","Implementing","EN IMPLEMENTACIÓN",""
"csc-422","product","10 · From support to product","li","DRAFT","Authentication and payments","Autenticación y pagos",""
"csc-423","product","10 · From support to product","li","DRAFT","Protected experience","Experiencia protegida",""
"csc-424","product","10 · From support to product","li","DRAFT","Member infrastructure","Infraestructura de miembros",""
"csc-425","product","10 · From support to product","span","DRAFT","STILL TO VALIDATE","AÚN POR VALIDAR",""
"csc-426","product","10 · From support to product","h3","DRAFT","Still to validate","AÚN POR VALIDAR",""
"csc-427","product","10 · From support to product","li","DRAFT","Conversion and activation","Conversión y activación",""
"csc-428","product","10 · From support to product","li","DRAFT","Adoption and retention","Adopción y retención",""
"csc-429","product","10 · From support to product","li","DRAFT","Pricing","Precio",""
"csc-430","product","10 · From support to product","li","DRAFT","Commercial performance","Desempeño comercial",""
"csc-431","product","10 · From support to product","h3","DRAFT","The architecture is defined. [line break] The infrastructure is catching up","La arquitectura está definida. [line break] La infraestructura la está alcanzando",""
"csc-432","product","10 · From support to product","p","DRAFT","What remains is implementation, adoption, and proof.","Lo que queda es implementación, adopción y evidencia.",""
"csc-433","product","10 · From support to product","p","DRAFT","Shipped → Architected → Implementing → Validating","Publicado → Arquitectado → En implementación → Validando",""
