"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-232","support","06 · OWNED SUPPORT","span","DRAFT","From circulation to owned support","De la circulación al apoyo propio",""
"csc-233","support","06 · OWNED SUPPORT","h2","DRAFT","The feed surfaced the need. [line break] The owned experience had to hold it","El feed sacó a la superficie la necesidad. [line break] La experiencia propia tenía que sostenerla",""
"csc-234","support","06 · OWNED SUPPORT","p","DRAFT","Nari's publishing exposed recurring questions and language in real time. I built durable places for those signals to land: immediate protocols, deeper learning, and a path toward continued support.","La publicación de Nari revelaba preguntas y lenguaje recurrentes en tiempo real. Yo construí lugares duraderos donde esas señales pudieran aterrizar: protocolos inmediatos, aprendizaje más profundo y una ruta hacia el acompañamiento continuo.",""
"csc-235","support","06 · OWNED SUPPORT","h3","DRAFT","A · Listen","A · Escuchar",""
"csc-236","support","06 · OWNED SUPPORT","img [alt]","DRAFT","Real parent moment beside a structured Criar Sin Culpas support experience: immediate guidance, escalation ladder, and share or continue paths","Momento real de una madre o un padre junto a una experiencia de apoyo estructurada de Criar Sin Culpas: guía inmediata, escalera de escalada y rutas para compartir o continuar",""
"csc-237","support","06 · OWNED SUPPORT","span","DRAFT","SYSTEM IN THE MOMENT","SISTEMA EN EL MOMENTO",""
"csc-238","support","06 · OWNED SUPPORT","p","DRAFT","Real social moment → structured support on the phone","Momento social real → apoyo estructurado en el teléfono",""
"csc-239","support","06 · OWNED SUPPORT","img [alt]","DRAFT","Documentary collage of Nari recording a Criar Sin Culpas Reel during the photoshoot, alongside real published Instagram posts and Reels from the live account","Collage documental de Nari grabando un Reel de Criar Sin Culpas durante la sesión de fotos, junto a publicaciones y Reels reales de la cuenta de Instagram en vivo",""
"csc-240","support","06 · OWNED SUPPORT","span","DRAFT","DOCUMENTARY + LIVE PRACTICE","DOCUMENTAL + PRÁCTICA EN VIVO",""
"csc-241","support","06 · OWNED SUPPORT","p","DRAFT","Cadence in practice · Recurring Reels and audience questions","Cadencia en práctica · Reels recurrentes y preguntas de la audiencia",""
"csc-242","support","06 · OWNED SUPPORT","ol [aria-label]","DRAFT","Listen signals","Señales de escucha",""
"csc-243","support","06 · OWNED SUPPORT","p","DRAFT","Cadence","Cadencia",""
"csc-244","support","06 · OWNED SUPPORT","p","DRAFT","Publishing cadence designed around recurring Reels and audience questions","Cadencia de publicación diseñada alrededor de Reels recurrentes y preguntas de la audiencia",""
"csc-245","support","06 · OWNED SUPPORT","p","DRAFT","Questions","Preguntas",""
"csc-246","support","06 · OWNED SUPPORT","p","DRAFT","Editorial input","Insumo editorial",""
"csc-247","support","06 · OWNED SUPPORT","p","DRAFT","Responses","Respuestas",""
"csc-248","support","06 · OWNED SUPPORT","p","DRAFT","Support in circulation","Apoyo en circulación",""
"csc-249","support","06 · OWNED SUPPORT","p","DRAFT","Signal","Signal",""
"csc-250","support","06 · OWNED SUPPORT","p","DRAFT","What to deepen next","Señal Qué profundizar después",""
"csc-251","support","06 · OWNED SUPPORT","h3","DRAFT","B · Owned layers","B · Capas propias",""
"csc-252","support","06 · OWNED SUPPORT","p","DRAFT","Need and experience, held on owned surfaces.","Necesidad y experiencia, sostenidas en superficies propias.",""
"csc-253","support","06 · OWNED SUPPORT","p","DRAFT","IN THE MOMENT","EN EL MOMENTO",""
"csc-254","support","06 · OWNED SUPPORT","h4","DRAFT","Immediate support","Apoyo inmediato",""
"csc-255","support","06 · OWNED SUPPORT","p","DRAFT","Protocols offer a useful next step when capacity is low.","Los protocolos ofrecen un próximo paso útil cuando la capacidad está baja.",""
"csc-256","support","06 · OWNED SUPPORT","span","DRAFT","Need","Necesidad",""
"csc-257","support","06 · OWNED SUPPORT","span","DRAFT","Urgent","Urgente",""
"csc-258","support","06 · OWNED SUPPORT","p","DRAFT","Four public protocols shipped: Pantallas, Desbordes, Sueño, and Hermanos","Cuatro protocolos públicos publicados: Pantallas, Desbordes, Sueño y Hermanos",""
"csc-259","support","06 · OWNED SUPPORT","img [alt]","DRAFT","Criar Sin Culpas immediate-support protocol system showing a mobile Desbordes guide, intervention stages, and three-step support path.","Sistema de protocolo de apoyo inmediato de Criar Sin Culpas, mostrando una guía móvil de Desbordes, etapas de intervención y una ruta de apoyo de tres pasos.",""
"csc-260","support","06 · OWNED SUPPORT","span","DRAFT","SHIPPED","PUBLICADO",""
"csc-261","support","06 · OWNED SUPPORT","p","DRAFT","Protocol · Intervention for low available attention","Protocolo · Intervención para atención disponible baja",""
"csc-262","support","06 · OWNED SUPPORT","p","DRAFT","Act now → Understand next","Actuar ahora → Entender después",""
"csc-263","support","06 · OWNED SUPPORT","img [alt]","DRAFT","Criar Sin Culpas Learn article on owned surfaces · longer-form guidance when more attention is available","Artículo de Aprende de Criar Sin Culpas en superficies propias · guía más extensa cuando hay más atención disponible",""
"csc-264","support","06 · OWNED SUPPORT","span","DRAFT","SHIPPED","PUBLICADO",""
"csc-265","support","06 · OWNED SUPPORT","p","DRAFT","Aprende · Editorial depth on owned surfaces","Aprende · Profundidad editorial en superficies propias",""
