"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-167","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Visual support infrastructure","Infraestructura visual de apoyo",""
"csc-168","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","h2","DRAFT","Some moments are documented. [line break] Others have to be interpreted","Algunos momentos se documentan. [line break] Otros hay que interpretarlos",""
"csc-169","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","p","DRAFT","Photography records lived reality. Illustration clarifies the emotional structure of a moment. Together, they help support feel human, recognizable, and usable.","La fotografía registra la realidad vivida. La ilustración clarifica la estructura emocional de un momento. Juntas, ayudan a que el apoyo se sienta humano, reconocible y utilizable.",""
"csc-170","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","h3","DRAFT","Photography","Fotografía",""
"csc-171","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","p","DRAFT","Records lived reality.","Registra la realidad vivida.",""
"csc-172","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Documentary","Documental",""
"csc-173","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Intimate","Íntima",""
"csc-174","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Warm","Cálida",""
"csc-175","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Human","Humana",""
"csc-176","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Unposed","Sin posar",""
"csc-177","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Natural light","Luz natural",""
"csc-178","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","span","DRAFT","Emotional honesty","Honestidad emocional",""
"csc-179","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","p","DRAFT","Documentary, not marketing · the moment support becomes possible, not the moment it succeeds.","Documental, no publicitaria · el momento en que el apoyo se vuelve posible, no el momento en que triunfa.",""
"csc-180","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","img [alt]","DRAFT","Documentary portrait of Nari Gilberto","Retrato documental de Nari Gilberto",""
"csc-181","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","h3","DRAFT","Illustration","Ilustración",""
"csc-182","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","p","DRAFT","Clarifies the emotional structure of a moment.","Clarifica la estructura emocional de un momento.",""
"csc-183","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","p","DRAFT","Un solo dibujo, cuatro distancias.","Un solo dibujo, cuatro distancias.",""
"csc-184","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","div [aria-label]","DRAFT","Illustration distance ladder","Escala de distancias de la ilustración",""
"csc-185","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","img [alt]","DRAFT","Cine scale sleep illustration","Ilustración de sueño a escala Cine",""
"csc-186","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","figcaption","DRAFT","Cine","Cine",""
"csc-187","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","img [alt]","DRAFT","Foto scale sleep illustration","Ilustración de sueño a escala Foto",""
"csc-188","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","figcaption","DRAFT","Foto","Foto",""
"csc-189","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","img [alt]","DRAFT","Pin scale sleep illustration","Ilustración de sueño a escala Pin",""
"csc-190","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","figcaption","DRAFT","Pin","Pin",""
"csc-191","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","img [alt]","DRAFT","Símbolo open hand","Símbolo de mano abierta",""
"csc-192","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","figcaption","DRAFT","Símbolo","Símbolo",""
"csc-193","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","div [aria-label]","DRAFT","Symbol set","Set de símbolos",""
"csc-194","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","img [alt]","DRAFT","Heart symbol","Símbolo de corazón",""
"csc-195","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","figcaption","DRAFT","Heart","Corazón",""
"csc-196","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","img [alt]","DRAFT","Brain symbol","Símbolo de cerebro",""
"csc-197","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","figcaption","DRAFT","Brain","Cerebro",""
"csc-198","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","img [alt]","DRAFT","SOS symbol","Símbolo de SOS",""
"csc-199","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","figcaption","DRAFT","SOS","SOS",""
"csc-200","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","img [alt]","DRAFT","Pause symbol","Símbolo de pausa",""
"csc-201","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","figcaption","DRAFT","Pause","Pausa",""
"csc-202","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","div [aria-label]","DRAFT","Symbol set extension","Extensión del set de símbolos",""
"csc-203","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","img [alt]","DRAFT","Prohibido symbol","Símbolo de prohibido",""
"csc-204","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","figcaption","DRAFT","Prohibido","Prohibido",""
"csc-205","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","img [alt]","DRAFT","Pin symbol","Símbolo de pin",""
"csc-206","visual-languages","05 · VISUAL SUPPORT INFRASTRUCTURE","figcaption","DRAFT","Pin","Pin",""
