id,type,section,source_en,translation_es,change,notes
04_visual_support_infrastruc_036,caption,"04 · VISUAL SUPPORT INFRASTRUCTURE","Cine Editorial distance · Sueño","Cine Distancia editorial · Sueño",revised,"REVISED since ES pack. Prior EN: Sleep doodle · Prior ES (do not reuse blindly): Boceto de sueño"
04_visual_support_infrastruc_037,caption,"04 · VISUAL SUPPORT INFRASTRUCTURE","Foto Doodle distance · Sueño","Foto Distancia de boceto · Sueño",revised,"REVISED since ES pack. Prior EN: Emociones · Prior ES (do not reuse blindly): Emociones"
04_visual_support_infrastruc_038,caption,"04 · VISUAL SUPPORT INFRASTRUCTURE","Pin Compact mark · Sueño","Pin Marca compacta · Sueño",revised,"REVISED since ES pack. Prior EN: Desbordes · Prior ES (do not reuse blindly): Desbordes"
04_visual_support_infrastruc_039,caption,"04 · VISUAL SUPPORT INFRASTRUCTURE","Símbolo System glyph · reusable","Símbolo Glifo del sistema · reutilizable",revised,"REVISED since ES pack. Prior EN: Pantallas · Prior ES (do not reuse blindly): Pantallas"
04_visual_support_infrastruc_040,body,"04 · VISUAL SUPPORT INFRASTRUCTURE","One drawing, four distances · then named, tagged, and filed for production.","Un dibujo, cuatro distancias · luego nombrado, etiquetado y archivado para producción.",new,"NEW since ES pack · translate fresh"
04_visual_support_infrastruc_alt_053,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Sueño illustration at editorial distance","Ilustración de Sueño a distancia editorial",revised,"REVISED since ES pack. Prior EN: Emotions doodle crop · Prior ES (do not reuse blindly): Recorte del boceto de emociones"
04_visual_support_infrastruc_alt_054,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Sueño illustration at doodle distance","Ilustración de Sueño a distancia de boceto",revised,"REVISED since ES pack. Prior EN: Meltdowns doodle crop · Prior ES (do not reuse blindly): Recorte del boceto de desbordes"
04_visual_support_infrastruc_alt_055,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Sueño illustration at pin distance","Ilustración de Sueño a distancia de pin",revised,"REVISED since ES pack. Prior EN: Screens doodle crop · Prior ES (do not reuse blindly): Recorte del boceto de pantallas"
04_visual_support_infrastruc_alt_056,alt,"04 · VISUAL SUPPORT INFRASTRUCTURE","Open-hand symbol from the Criar Sin Culpas symbol set","Símbolo de mano abierta del set de símbolos de Criar Sin Culpas",new,"Image alt text · translate for accessibility"
06_from_protocol_to_product__008,label,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Behavioral evidence","Evidencia de comportamiento",revised,"REVISED since ES pack. Prior EN: Decision · Prior ES (do not reuse blindly): Decisión"
06_from_protocol_to_product__009,heading,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","What behavior taught us","Lo que el comportamiento nos enseñó",revised,"REVISED since ES pack. Prior EN: Build a support ecosystem, not a content library. · Prior ES (do not reuse blindly): Construir un entramado de apoyo, no una biblioteca de contenido."
06_from_protocol_to_product__010,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Observed site behavior in a 91-day reporting window shaped how support and pathway decisions were prioritized.","El comportamiento observado en el sitio durante una ventana de reporte de 91 días definió cómo se priorizaron las decisiones de apoyo y de ruta.",revised,"REVISED since ES pack. Prior EN: Free protocols handle the moment. Deeper programs build capacity before the next one. · Prior ES (do not reuse blindly): Los protocolos gratuitos atienden el momento. Los programas más profundos construyen capacidad antes del siguiente."
06_from_protocol_to_product__011,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Evidence → Interpretation → Decision","Evidencia → Interpretación → Decisión",revised,"REVISED since ES pack. Prior EN: Free support → Evidence → Deeper support → New signals · Prior ES (do not reuse blindly): Apoyo gratuito → Evidencia → Apoyo más profundo → Nuevas señales"
06_from_protocol_to_product__012,label,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Entry signal","Señal de entrada",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__013,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Pantallas visitors","Visitantes de Pantallas",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__014,label,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Evidence","Evidencia",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__015,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Pantallas reached 71 visitors with 72% average scroll depth .","Pantallas alcanzó 71 visitantes con 72% de profundidad de scroll promedio.",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__016,label,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Interpretation","Interpretación",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__017,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","A familiar, immediate conflict became the strongest protocol entry point.","Un conflicto conocido e inmediato se convirtió en el punto de entrada más fuerte a los protocolos.",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__019,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Keep urgent, recognizable needs at the front of the public support layer.","Mantener las necesidades urgentes y reconocibles al frente de la capa de apoyo pública.",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__020,label,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Depth signal","Señal de profundidad",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__021,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","108 sec","108 seg",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__022,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Desbordes attention","Atención en Desbordes",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__024,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Desbordes reached 41 visitors, 79% average scroll depth , and 108 seconds average time on page.","Desbordes alcanzó 41 visitantes, 79% de profundidad de scroll promedio y 108 segundos de tiempo promedio en la página.",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__026,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Parents did not only sample acute-support content. They stayed with it.","Las familias no solo probaron el contenido de apoyo agudo. Se quedaron con él.",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__028,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Prioritize concise intervention first, with enough depth to support understanding after the immediate moment.","Priorizar primero la intervención concisa, con suficiente profundidad para apoyar la comprensión después del momento inmediato.",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__029,label,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Pathway signal","Señal de ruta",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__030,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","~30%","~30%",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__031,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Portal entries","Entradas al portal",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__033,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","67 unique visitors triggered portal_entered, approximately 30% of the 223 visitors in the reporting window.","67 visitantes únicos activaron portal_entered, aproximadamente el 30% de los 223 visitantes en la ventana de reporte.",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__035,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","A meaningful share moved beyond an individual page into the broader support environment.","Una porción significativa avanzó más allá de una página individual hacia el entorno de apoyo más amplio.",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__037,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Continue developing an owned pathway rather than treating protocols as isolated content.","Continuar desarrollando una ruta propia en lugar de tratar los protocolos como contenido aislado.",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__038,label,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Language signal","Señal de idioma",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__039,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Language changes","Cambios de idioma",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__041,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","45 unique visitors triggered language_changed.","45 visitantes únicos activaron language_changed.",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__043,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Visitors actively used the bilingual capability.","Los visitantes usaron activamente la capacidad bilingüe.",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__045,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Treat bilingual delivery as experience infrastructure, not a translation layer.","Tratar la entrega bilingüe como infraestructura de experiencia, no como una capa de traducción.",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__046,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","Plausible Analytics · 91-day window · May 22–August 20, 2026","Plausible Analytics · ventana de 91 días · 22 de mayo–20 de agosto, 2026",new,"NEW since ES pack · translate fresh"
06_from_protocol_to_product__047,body,"06 · FROM PROTOCOL TO PRODUCT SIGNAL","We initially assumed the opportunity was to organize educational content. Behavior showed that parents first needed immediate, navigable support. That changed the architecture.","Al inicio asumimos que la oportunidad era organizar contenido educativo. El comportamiento mostró que las familias necesitaban primero apoyo inmediato y navegable. Eso cambió la arquitectura.",new,"NEW since ES pack · translate fresh"
10_what_actually_changed_005,label,"10 · WHAT ACTUALLY CHANGED","Pantallas visitors","Visitantes de Pantallas",revised,"REVISED since ES pack. Prior EN: Existing condition · Prior ES (do not reuse blindly): Condición existente"
10_what_actually_changed_006,body,"10 · WHAT ACTUALLY CHANGED","Strongest protocol entry point · 72% average scroll","Punto de entrada más fuerte a los protocolos · 72% de scroll promedio",revised,"REVISED since ES pack. Prior EN: ~30K · Prior ES (do not reuse blindly): ~30K"
10_what_actually_changed_007,body,"10 · WHAT ACTUALLY CHANGED","108 SEC","108 SEG",revised,"REVISED since ES pack. Prior EN: Instagram followers already existed before the owned system. · Prior ES (do not reuse blindly): Seguidores en Instagram que ya existían antes del sistema propio."
10_what_actually_changed_008,label,"10 · WHAT ACTUALLY CHANGED","Desbordes attention","Atención en Desbordes",revised,"REVISED since ES pack. Prior EN: Approximate starting audience documented in engagement materials. · Prior ES (do not reuse blindly): Audiencia inicial aproximada, documentada en los materiales de levantamiento."
10_what_actually_changed_009,body,"10 · WHAT ACTUALLY CHANGED","41 visitors · 79% average scroll","41 visitantes · 79% de scroll promedio",revised,"REVISED since ES pack. Prior EN: Shipped support · Prior ES (do not reuse blindly): Apoyo publicado"
10_what_actually_changed_010,label,"10 · WHAT ACTUALLY CHANGED","Portal entries","Entradas al portal",revised,"REVISED since ES pack. Prior EN: Bilingual protocols launched on the owned platform. · Prior ES (do not reuse blindly): Protocolos bilingües lanzados en la plataforma propia."
10_what_actually_changed_011,body,"10 · WHAT ACTUALLY CHANGED","Unique visitors · approximately 30% of the reporting audience","Visitantes únicos · aproximadamente 30% de la audiencia del reporte",revised,"REVISED since ES pack. Prior EN: Pantallas · Desbordes · Sueño · Hermanos · Prior ES (do not reuse blindly): Pantallas · Desbordes · Sueño · Hermanos"
10_what_actually_changed_012,label,"10 · WHAT ACTUALLY CHANGED","Language changes","Cambios de idioma",revised,"REVISED since ES pack. Prior EN: Owned experience · Prior ES (do not reuse blindly): Experiencia propia"
10_what_actually_changed_013,body,"10 · WHAT ACTUALLY CHANGED","Unique visitors actively using the bilingual experience","Visitantes únicos que usan activamente la experiencia bilingüe",revised,"REVISED since ES pack. Prior EN: Public + bilingual · Prior ES (do not reuse blindly): Pública + bilingüe"
10_what_actually_changed_014,body,"10 · WHAT ACTUALLY CHANGED","Plausible Analytics · May 22–August 20, 2026 · 223 total visitors","Plausible Analytics · 22 de mayo–20 de agosto, 2026 · 223 visitantes totales",revised,"REVISED since ES pack. Prior EN: Support moved beyond social publishing into owned protocols, editorial guidance, and reusable pathways. · Prior ES (do not reuse blindly): El apoyo pasó de la publicación en redes sociales a protocolos propios, guía editorial y rutas reutilizables."
10_what_actually_changed_015,label,"10 · WHAT ACTUALLY CHANGED","What the experience validated","Lo que la experiencia validó",revised,"REVISED since ES pack. Prior EN: Operating practice · Prior ES (do not reuse blindly): Práctica operativa"
10_what_actually_changed_016,heading,"10 · WHAT ACTUALLY CHANGED","The support content earned attention.","El contenido de apoyo ganó atención.",revised,"REVISED since ES pack. Prior EN: Defined system · Prior ES (do not reuse blindly): Sistema definido"
10_what_actually_changed_017,body,"10 · WHAT ACTUALLY CHANGED","Protocol visitors showed strong scroll depth, sustained attention on Desbordes, movement into the portal, and active use of the bilingual experience.","Los visitantes de los protocolos mostraron una fuerte profundidad de scroll, atención sostenida en Desbordes, movimiento hacia el portal y uso activo de la experiencia bilingüe.",revised,"REVISED since ES pack. Prior EN: Rhythm, governance, measurement, and production now connect signals to shipped support. · Prior ES (do not reuse blindly): Ritmo, gobernanza, medición y producción ahora conectan las señales con el apoyo publicado."
10_what_actually_changed_018,label,"10 · WHAT ACTUALLY CHANGED","What remains unproven","Lo que aún no está probado",revised,"REVISED since ES pack. Prior EN: VOICE · Prior ES (do not reuse blindly): VOZ"
10_what_actually_changed_019,heading,"10 · WHAT ACTUALLY CHANGED","Distribution has not caught up.","La distribución todavía no llegó.",revised,"REVISED since ES pack. Prior EN: Individual expression · Prior ES (do not reuse blindly): Expresión individual"
10_what_actually_changed_020,body,"10 · WHAT ACTUALLY CHANGED","Of 223 visitors, 208 arrived through Direct/None. Instagram contributed 9 visitors, while Google and Bing contributed 2 combined. Early traffic remained concentrated within an existing network.","De 223 visitantes, 208 llegaron por Directo/Ninguno. Instagram aportó 9 visitantes, mientras que Google y Bing aportaron 2 en conjunto. El tráfico temprano se mantuvo concentrado dentro de una red existente.",revised,"REVISED since ES pack. Prior EN: Structured, governed brand voice · Prior ES (do not reuse blindly): Voz de marca estructurada y gobernada"
10_what_actually_changed_021,body,"10 · WHAT ACTUALLY CHANGED","The early evidence validated the support experience, not yet its distribution.","La evidencia temprana validó la experiencia de apoyo, no todavía su distribución.",revised,"REVISED since ES pack. Prior EN: KNOWLEDGE · Prior ES (do not reuse blindly): CONOCIMIENTO"
