"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-016","brief","Brief · La versión corta","span","REVISED","The short version","LA VERSIÓN CORTA",""
"csc-017","brief","Brief · La versión corta","h2","REVISED","If you only read four things","Si solo lees cuatro cosas",""
"csc-018","brief","Brief · La versión corta","div [aria-label]","REVISED","Case summary","Resumen del caso",""
"csc-019","brief","Brief · La versión corta","p","REVISED","Situation","LA SITUACIÓN",""
"csc-020","brief","Brief · La versión corta","p","REVISED","Trust without structure","Confianza sin estructura",""
"csc-021","brief","Brief · La versión corta","p","REVISED","Real expertise and a real audience, delivered post by post and dependent on Nari being present.","Experiencia real, una audiencia comprometida y años de conocimiento acumulado. Pero todo se sostenía en la presencia constante de Nari y avanzaba publicación por publicación.",""
"csc-022","brief","Brief · La versión corta","p","REVISED","The read","LA CLAVE",""
"csc-023","brief","Brief · La versión corta","p","REVISED","Parents arrive in crisis, not curiosity","Las familias llegan buscando ayuda, no contenido",""
"csc-024","brief","Brief · La versión corta","p","REVISED","One finding reframed the engagement from a content problem into a support problem.","Un hallazgo cambió por completo el enfoque: el reto no era producir más contenido, sino construir una mejor forma de acompañar a las familias.",""
"csc-025","brief","Brief · La versión corta","p","REVISED","What I built","LO QUE CONSTRUÍ",""
"csc-026","brief","Brief · La versión corta","p","REVISED","A practice system, not a website","Un sistema para la práctica, no solo un sitio web",""
"csc-027","brief","Brief · La versión corta","p","REVISED","Four protocols, a bilingual platform, a governed brand system, and the operating model behind them.","Cuatro protocolos, una plataforma bilingüe, un sistema de marca con reglas claras y el modelo operativo necesario para sostener la práctica y hacerla crecer.",""
"csc-028","brief","Brief · La versión corta","p","REVISED","Where it stands","DÓNDE ESTÁ HOY",""
"csc-029","brief","Brief · La versión corta","p","REVISED","Attention validated. Distribution not yet","El interés ya está validado. La distribución, todavía no.",""
"csc-030","brief","Brief · La versión corta","p","REVISED","Parents stay with the support and move deeper into it. Reach, adoption, and revenue remain unproven.","Las familias que llegan encuentran apoyo y continúan avanzando dentro de la experiencia. Lo que todavía falta probar es si ese interés puede traducirse en mayor alcance, adopción e ingresos sostenibles.",""
