"string_id","section_id","section","element","status","en","es","translator_notes"
"csc-003","open","00 · Hero","img [alt]","REVISED","A mother and child sharing a quiet moment in a sunlit room","Una madre y su hijo compartiendo un momento tranquilo en una habitación iluminada por el sol",""
"csc-004","open","00 · Hero","span","REVISED","CRIAR SIN CULPAS · LIVING CASE STUDY · APRIL–AUGUST 2026","CRIAR SIN CULPAS · ESTUDIO DE CASO VIVO · ABRIL–AGOSTO 2026",""
"csc-005","open","00 · Hero","h1","REVISED","The trust was already there. [line break] The system wasn't","La confianza ya existía. [line break] El sistema, no",""
"csc-006","open","00 · Hero","p","REVISED","Nari came to me with a trusted voice, a growing audience, years of teaching, and more useful material than any platform could hold. I reframed her growth challenge as a systems problem: how could her expertise become a coherent practice that people could use, Nari could sustain, and the business could grow around? The value was already there. It needed an architecture.","Nari llegó con algo que muchas marcas pasan años intentando construir: credibilidad, una comunidad en crecimiento y años de conocimiento probado. El problema no era el contenido. Había de sobra. El verdadero reto era transformar todo ese valor en un sistema claro, sostenible y escalable. Uno que la gente pudiera aplicar, que Nari pudiera sostener en el tiempo y que permitiera que el negocio creciera. El valor ya estaba ahí. Lo que faltaba era la estructura.",""
"csc-007","open","00 · Hero","p","REVISED","Formation arc","Arco de formación",""
"csc-008","open","00 · Hero","div [aria-label]","REVISED","Formation sequence","Secuencia de formación",""
"csc-009","open","00 · Hero","span","REVISED","Voice","Voz",""
"csc-010","open","00 · Hero","span","REVISED","Brand","Marca",""
"csc-011","open","00 · Hero","span","REVISED","Platform","Plataforma",""
"csc-012","open","00 · Hero","span","REVISED","Support","Apoyo",""
"csc-013","open","00 · Hero","span","REVISED","Product","Producto",""
"csc-014","open","00 · Hero","span","REVISED","Operations","Operación",""
"csc-015","open","00 · Hero","p","REVISED","The voice was already there. I designed everything downstream of it","La voz ya existía. Yo diseñé todo lo que viene después de ella",""
